제목,가수,감정,임베디드 코드,,#6c757b
  Haesu (달의 연인 보보경심 려 OST),"허상은, 박영익
",행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/286011346&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  宮 (궁 OST),"김현보, 두번째달
",행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/254914190&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  궁의 아침 (해를 품은 달 OST),"정세린, 김준석, 신은래
",행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/197549426&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  궐 (해를 품은 달 OST),"정세린, 김준석
",행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/197549426&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  금소화동숙 (옥탑방 왕세자 OST),"김지수, 전해일, 김효원
",행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/240075168&color=%23a0a0a0&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  꽃물 (공주의 남자 OST),"이지용, 이유희
",행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/848842417&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  달빛이 흐른다 (구르미 그린 달빛 OST),"두번째 달
",행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/327971520&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  불허한다 (구르미 그린 달빛 OST),"개미, 이건영, 이성구
",행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/293886395&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  동동 (動動),"이지용, 조은아
",행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/230469206&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  생도청의 아침 (바람의 화원 OST),"전창엽
",행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/164399375&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  수수께끼 (옥탑방 왕세자 OST),"김지수
",행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/166946768&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  다홍치마 (조선 총잡이 OST),"이지용, 이유희
",행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/166012959&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  옥탑방왕세자 Title (옥탑방왕세자 OST),"김지수
",행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/45451440&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
불꽃의 춤,김준석,행복함,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/242506457&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  Cloud of Love (Main Theme) (화랑 OST),"오준성
",긴장감,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/756434377&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  The Greatest Day (기황후 OST),"김장우
",긴장감,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/900387433&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
Gesture of Resistance (달의 연인,"보보경심 려) - 김지수
",긴장감,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/854360350&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  외로운 발자국 Main Title (일지매 OST),"Yoshimata Ryo
",긴장감,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/41082493&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  자명고 (자명고 OST),"박연
",긴장감,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/854371675&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
단가(대장금 ost),artists,긴장감,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/419937192&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  해를 품은 달 (해를 품은 달 OST),"김준석
",긴장감,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/94782747&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
비익련리,artists,긴장감,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/95028662&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  Gesture of Resistance (달의 연인-보보경심 려 OST),"김지수
",긴장감,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/854360350&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
오계절,하은,슬픔,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/571506765&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
아주 먼 훗날,세오,슬픔,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/581650425&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
Always,슬기,슬픔,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/574128039&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  Gauns Sonata (군주,"가면의 주인 OST) - 진명용, 고진혜
",슬픔,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/393405327&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  연 (바람의 나라 OST),"박종미
",슬픔,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/playlists/544320267&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  단애 (동이 OST),"임세현
",슬픔,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/playlists/882457423&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
슬픈 행진,일레인,슬픔,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/472306689&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
  가질 수 없는 안을 수 없는 (선덕여왕 OST),"김형준
",슬픔,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/221827591&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
너를 생각하면 슬퍼하노라,방준석,슬픔,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/228816074&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
불꽃처럼 아름답게,신승훈,슬픔,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/497698824&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
나란히 걷는 길,"남혜승,박상희",평온,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/921424930&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
형을 위한 노래,"남혜승,박상희",평온,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/766732654&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true,,
